,ST,City  - Station Code,City,Code
193,WI,MILWAUKEE-TMKE,MILWAUKEE,TMKE
194,MN,MINNEAPOLIS-TMSP,MINNEAPOLIS,TMSP
195,LA,NEW ORLEANS-TMSY,NEW ORLEANS,TMSY
196,OK,NORMAN WFO-TOKC,NORMAN WFO,TOKC
197,IL,CHICAGO OHARE-TORD,CHICAGO OHARE,TORD
198,FL,WEST PALM BEACH-TPBI,WEST PALM BEACH,TPBI
199,NJ,PHILADELPHIA-TPHL,PHILADELPHIA,TPHL
200,AZ,PHOENIX-TPHX,PHOENIX,TPHX
201,PA,PITTSBURGH-TPIT,PITTSBURGH,TPIT
202,NC,RALEIGH-TRDU,RALEIGH,TRDU
203,KY,LOUISVILLE-TSDF,LOUISVILLE,TSDF
204,PR,SAN JUAN-TSJU,SAN JUAN,TSJU
205,UT,SALT LAKE CITY-TSLC,SALT LAKE CITY,TSLC
206,MO,ST LOUIS-TSTL,ST LOUIS,TSTL
207,FL,TAMPA-TTPA,TAMPA,TTPA
208,OK,TULSA-TTUL,TULSA,TTUL
